Latency (ms), +/- (ms)
58.43, 0.03
57.53, 0.03
44.84, 0.03
44.85, 0.03
61.05, 0.03
44.65, 0.05
55.75, 0.05
42.78, 0.05
47.34, 0.05
60.27, 0.04
55.55, 0.05
53.67, 0.03
55.97, 0.03
65.87, 0.03
51.31, 0.05
33.47, 0.03
56.38, 0.03
35.03, 0.03
53.17, 0.03
52.79, 0.04
50.94, 0.03
54.68, 0.03
64.32, 0.03
63.86, 0.03
59.53, 0.03
35.48, 0.03
46.57, 0.03
41.58, 0.03
69.10, 0.03
42.33, 0.03
66.00, 0.05
67.49, 0.03
52.02, 0.02
48.79, 0.03
35.69, 0.03
31.12, 0.05
54.53, 0.05
59.49, 0.05
45.24, 0.05
54.55, 0.05
50.01, 0.05
41.96, 0.04
51.71, 0.05
59.62, 0.03
40.63, 0.03
38.77, 0.03
33.79, 0.03
62.62, 0.03
57.87, 0.03
57.90, 0.03
39.98, 0.03
59.34, 0.04
43.12, 0.03
45.78, 0.03
33.42, 0.03
62.93, 0.03
43.62, 0.04
40.50, 0.03
63.27, 0.03
64.42, 0.03
37.13, 0.05
51.34, 0.05
58.10, 0.05
37.30, 0.05
37.04, 0.05
45.91, 0.05
42.66, 0.05
60.14, 0.04
39.30, 0.05
35.36, 0.03
46.69, 0.03
63.09, 0.03
64.36, 0.05
50.20, 0.03
62.47, 0.05
41.59, 0.05
31.05, 0.15
36.25, 0.05
60.44, 0.05
48.20, 0.03
53.39, 0.03
38.79, 0.07
50.01, 0.05
60.53, 0.05
56.67, 0.05
45.85, 0.05
47.42, 0.05
66.99, 0.05
65.86, 0.06
42.11, 0.04
64.39, 0.05
38.94, 0.04
39.02, 0.05
31.85, 0.05
37.15, 0.03
54.92, 0.03
53.17, 0.03
66.17, 0.03
49.94, 0.03
43.20, 0.03
