Latency (ms), +/- (ms)
10.74, 0.03
10.78, 0.03
10.91, 0.03
11.41, 0.03
11.09, 0.03
10.76, 0.03
11.33, 0.03
11.56, 0.07
11.19, 0.05
11.19, 0.05
11.44, 0.04
11.37, 0.04
10.70, 0.05
10.62, 0.05
11.49, 0.03
11.33, 0.03
10.55, 0.03
11.26, 0.03
10.92, 0.03
11.15, 0.03
10.80, 0.03
11.72, 0.03
10.86, 0.03
11.01, 0.05
11.65, 0.05
11.22, 0.04
11.46, 0.05
11.40, 0.04
11.14, 0.12
11.11, 0.04
10.80, 0.04
11.12, 0.05
11.43, 0.05
11.18, 0.04
11.72, 0.05
10.89, 0.05
11.49, 0.04
11.11, 0.05
10.71, 0.05
11.18, 0.05
11.22, 0.05
10.95, 0.03
11.57, 0.05
10.89, 0.05
11.07, 0.04
11.21, 0.05
11.31, 0.03
11.27, 0.03
11.65, 0.03
11.05, 0.03
10.55, 0.03
10.78, 0.03
11.51, 0.03
11.05, 0.03
11.37, 0.03
11.76, 0.05
11.13, 0.05
11.60, 0.05
10.86, 0.05
11.17, 0.05
11.05, 0.05
11.26, 0.05
11.75, 0.04
11.58, 0.04
10.92, 0.04
11.27, 0.05
11.84, 0.05
10.79, 0.05
11.05, 0.05
10.95, 0.05
11.72, 0.05
10.61, 0.05
10.99, 0.05
10.96, 0.05
10.95, 0.05
11.40, 0.05
10.71, 0.05
11.06, 0.05
11.32, 0.04
11.41, 0.04
11.88, 0.05
11.38, 0.05
10.67, 0.06
11.35, 0.03
11.13, 0.03
11.12, 0.03
10.82, 0.03
10.66, 0.03
10.86, 0.10
10.73, 0.03
10.51, 0.03
10.71, 0.04
11.50, 0.03
11.24, 0.03
11.12, 0.03
11.36, 0.03
10.54, 0.03
11.01, 0.03
11.66, 0.03
10.59, 0.03
