Latency (ms), +/- (ms)
1.76, 0.03
2.83, 0.03
2.16, 0.03
2.05, 0.03
2.39, 0.03
4.84, 0.03
3.65, 0.03
4.44, 0.05
3.88, 0.03
3.25, 0.03
2.01, 0.03
4.05, 0.03
4.59, 0.03
2.34, 0.03
1.77, 0.03
4.01, 0.04
4.63, 0.05
3.86, 0.05
5.06, 0.05
3.09, 0.05
4.45, 0.05
3.81, 0.05
3.27, 0.05
4.42, 0.03
5.65, 0.03
3.71, 0.03
4.61, 0.03
3.56, 0.05
1.91, 0.05
3.90, 0.05
4.88, 0.05
1.71, 0.05
2.51, 0.05
2.57, 0.04
3.66, 0.04
4.21, 0.05
4.06, 0.04
3.52, 0.05
2.65, 0.05
2.99, 0.04
1.89, 0.05
3.22, 0.05
5.39, 0.05
4.63, 0.05
2.40, 0.04
5.74, 0.05
2.49, 0.04
2.39, 0.05
4.96, 0.05
3.80, 0.05
5.66, 0.03
6.13, 0.03
2.77, 0.03
4.50, 0.03
1.47, 0.03
3.33, 0.03
2.88, 0.03
4.41, 0.02
3.90, 0.05
5.26, 0.04
4.16, 0.05
5.40, 0.05
4.01, 0.04
4.83, 0.05
5.27, 0.05
5.33, 0.05
4.72, 0.05
3.46, 0.05
3.00, 0.04
2.41, 0.05
2.44, 0.05
5.51, 0.04
4.46, 0.03
4.46, 0.05
4.63, 0.04
2.36, 0.05
2.04, 0.05
1.66, 0.04
4.29, 0.04
5.06, 0.05
4.00, 0.05
4.99, 0.06
2.12, 0.05
5.02, 0.04
2.93, 0.05
5.42, 0.05
3.52, 0.05
5.81, 0.05
4.64, 0.05
5.61, 0.05
4.97, 0.05
4.98, 0.03
2.91, 0.03
5.29, 0.03
3.24, 0.03
1.89, 0.05
4.93, 0.05
3.65, 0.04
2.51, 0.05
4.91, 0.05
