Latency (ms), +/- (ms)
12.30, 0.08
10.21, 0.08
7.43, 0.07
14.81, 0.08
5.76, 0.08
8.61, 0.07
5.06, 0.07
7.23, 0.07
15.38, 0.07
9.59, 0.05
8.90, 0.07
7.94, 0.07
13.46, 0.07
5.33, 0.07
14.57, 0.07
9.87, 0.07
12.66, 0.07
15.12, 0.05
9.31, 0.06
4.97, 0.07
10.69, 0.07
13.81, 0.06
10.88, 0.07
12.09, 0.06
12.35, 0.07
7.94, 0.07
4.98, 0.07
4.94, 0.06
5.81, 0.07
11.24, 0.06
10.46, 0.07
15.68, 0.07
11.97, 0.07
8.84, 0.06
8.84, 0.07
13.97, 0.06
4.94, 0.07
8.26, 0.07
10.46, 0.07
9.07, 0.08
12.79, 0.07
6.43, 0.07
6.65, 0.07
7.51, 0.07
9.22, 0.07
8.53, 0.04
14.22, 0.07
10.24, 0.07
10.74, 0.06
11.36, 0.07
7.21, 0.07
15.06, 0.07
11.06, 0.07
11.88, 0.05
11.78, 0.07
9.77, 0.07
12.50, 0.07
13.44, 0.07
9.30, 0.08
10.55, 0.07
13.48, 0.07
9.84, 0.07
5.71, 0.07
14.34, 0.07
5.89, 0.07
14.11, 0.07
13.31, 0.07
9.39, 0.07
6.83, 0.07
7.06, 0.07
10.34, 0.06
13.14, 0.07
9.15, 0.07
7.77, 0.07
12.47, 0.07
8.95, 0.08
5.20, 0.08
5.57, 0.07
8.25, 0.08
5.30, 0.07
6.04, 0.07
15.22, 0.07
13.02, 0.08
11.77, 0.05
6.94, 0.08
7.46, 0.08
14.88, 0.08
5.93, 0.08
15.30, 0.07
7.28, 0.08
12.06, 0.08
11.66, 0.08
15.30, 0.08
14.42, 0.07
15.83, 0.08
6.33, 0.08
7.72, 0.08
10.16, 0.08
6.55, 0.08
12.57, 0.07
