Latency (ms), +/- (ms)
3.58, 0.07
3.90, 0.07
4.18, 0.07
3.04, 0.07
3.86, 0.06
4.36, 0.07
4.08, 0.07
4.21, 0.07
4.14, 0.08
3.53, 0.07
3.81, 0.07
4.10, 0.07
3.68, 0.07
2.76, 0.08
3.49, 0.08
2.66, 0.06
3.99, 0.07
4.04, 0.07
3.99, 0.07
4.03, 0.06
2.95, 0.07
3.57, 0.08
3.45, 0.08
4.33, 0.08
4.40, 0.08
3.71, 0.08
4.22, 0.08
4.18, 0.08
3.04, 0.08
3.61, 0.08
4.05, 0.08
4.06, 0.07
3.61, 0.08
4.24, 0.08
3.60, 0.07
4.35, 0.08
3.67, 0.08
3.94, 0.07
4.16, 0.08
4.27, 0.08
3.77, 0.08
3.52, 0.08
4.15, 0.08
3.68, 0.07
3.60, 0.08
3.63, 0.09
3.12, 0.08
4.34, 0.05
4.12, 0.05
4.07, 0.08
4.03, 0.07
3.63, 0.07
4.00, 0.08
4.04, 0.07
3.55, 0.04
4.01, 0.07
3.42, 0.07
4.11, 0.07
3.51, 0.07
4.22, 0.07
3.60, 0.07
3.71, 0.07
3.79, 0.08
3.47, 0.08
3.86, 0.06
3.45, 0.07
3.82, 0.08
4.28, 0.07
3.68, 0.07
3.39, 0.07
4.24, 0.07
3.73, 0.07
3.78, 0.07
4.20, 0.07
2.99, 0.07
3.74, 0.07
4.06, 0.09
3.38, 0.07
3.34, 0.08
3.91, 0.07
4.10, 0.08
4.31, 0.08
3.43, 0.08
3.48, 0.07
4.38, 0.07
3.61, 0.06
3.33, 0.08
3.35, 0.08
4.17, 0.08
3.43, 0.08
3.99, 0.08
4.35, 0.07
3.97, 0.08
4.14, 0.07
3.35, 0.06
3.57, 0.07
3.92, 0.08
4.27, 0.08
3.49, 0.08
3.64, 0.08
