Latency (ms), +/- (ms)
9.17, 0.03
5.39, 0.03
3.71, 0.03
8.52, 0.03
7.94, 0.03
11.25, 0.05
5.21, 0.05
4.40, 0.05
11.37, 0.05
6.84, 0.05
6.61, 0.04
11.70, 0.05
11.35, 0.05
6.64, 0.05
3.72, 0.05
12.95, 0.04
9.98, 0.05
11.63, 0.05
8.22, 0.04
8.58, 0.04
10.06, 0.05
11.78, 0.04
9.75, 0.05
11.37, 0.05
10.12, 0.04
8.38, 0.05
5.14, 0.04
12.65, 0.05
9.27, 0.05
10.02, 0.05
5.26, 0.05
5.00, 0.05
8.36, 0.07
6.55, 0.05
8.34, 0.16
9.48, 0.05
9.57, 0.03
4.97, 0.05
5.08, 0.05
6.55, 0.05
12.49, 0.05
4.68, 0.07
3.38, 0.04
8.18, 0.05
6.45, 0.03
4.99, 0.03
3.60, 0.03
6.65, 0.03
8.47, 0.03
5.41, 0.03
9.43, 0.03
5.67, 0.03
9.04, 0.03
5.86, 0.05
9.83, 0.04
8.85, 0.04
6.20, 0.04
6.65, 0.05
8.57, 0.04
9.79, 0.05
8.46, 0.04
5.23, 0.05
6.82, 0.05
8.40, 0.04
5.07, 0.05
9.77, 0.05
3.58, 0.03
10.44, 0.03
5.49, 0.04
8.53, 0.03
7.13, 0.03
10.33, 0.03
5.50, 0.03
5.37, 0.03
6.77, 0.03
7.16, 0.03
2.09, 0.03
10.10, 0.05
10.08, 0.05
3.29, 0.05
6.75, 0.05
6.88, 0.07
8.23, 0.05
8.31, 0.04
8.25, 0.05
9.88, 0.05
7.09, 0.05
6.69, 0.05
11.74, 0.05
10.61, 0.03
6.99, 0.03
8.49, 0.03
8.72, 0.05
11.49, 0.05
11.67, 0.04
5.34, 0.04
3.48, 0.04
10.12, 0.03
8.65, 0.03
3.78, 0.03
