Latency (ms), +/- (ms)
2.93, 0.03
1.92, 0.03
2.73, 0.03
2.27, 0.03
2.71, 0.03
2.45, 0.03
2.47, 0.03
3.01, 0.02
2.96, 0.03
2.59, 0.03
2.56, 0.05
2.10, 0.05
2.65, 0.05
2.83, 0.05
2.85, 0.04
2.37, 0.05
2.02, 0.05
2.52, 0.05
2.34, 0.05
2.61, 0.05
3.03, 0.03
2.30, 0.03
2.46, 0.03
2.56, 0.03
2.62, 0.03
3.37, 0.05
2.77, 0.05
2.99, 0.05
2.75, 0.05
2.37, 0.05
2.11, 0.05
2.42, 0.03
3.01, 0.03
2.47, 0.03
2.38, 0.03
2.13, 0.03
2.61, 0.03
2.19, 0.05
2.34, 0.04
2.62, 0.05
2.47, 0.04
2.24, 0.04
3.04, 0.05
2.91, 0.05
2.10, 0.05
2.18, 0.04
2.78, 0.04
2.47, 0.05
2.56, 0.05
2.77, 0.05
2.85, 0.05
2.65, 0.05
2.45, 0.04
2.18, 0.05
2.49, 0.05
2.92, 0.05
2.72, 0.05
2.34, 0.05
2.12, 0.05
2.25, 0.05
2.99, 0.04
2.47, 0.05
2.29, 0.05
1.88, 0.04
2.28, 0.05
2.58, 0.03
1.97, 0.03
2.54, 0.03
2.18, 0.03
2.62, 0.03
2.99, 0.03
2.12, 0.03
2.03, 0.03
3.39, 0.03
3.12, 0.03
2.19, 0.03
2.79, 0.05
2.32, 0.05
2.45, 0.04
2.16, 0.04
2.29, 0.05
2.22, 0.03
2.31, 0.03
2.61, 0.03
3.05, 0.03
3.10, 0.03
2.57, 0.03
2.72, 0.03
2.69, 0.03
2.99, 0.03
1.97, 0.03
2.15, 0.05
2.55, 0.05
2.73, 0.04
2.30, 0.05
2.55, 0.04
3.11, 0.04
2.70, 0.05
3.25, 0.06
2.35, 0.05
