Latency (ms), +/- (ms)
2.62, 0.02
2.29, 0.02
3.38, 0.02
2.47, 0.01
2.84, 0.01
2.70, 0.01
2.46, 0.02
2.63, 0.02
2.24, 0.02
2.93, 0.02
3.21, 0.01
2.56, 0.02
2.31, 0.02
2.83, 0.03
2.77, 0.02
3.01, 0.02
3.05, 0.02
2.70, 0.02
2.42, 0.03
2.07, 0.02
1.87, 0.02
3.36, 0.03
2.89, 0.02
2.68, 0.02
2.48, 0.02
2.98, 0.01
2.12, 0.03
2.30, 0.01
3.12, 0.02
3.24, 0.02
2.97, 0.02
2.16, 0.02
2.94, 0.03
2.72, 0.02
2.53, 0.01
2.19, 0.02
6.35, 0.02
2.96, 0.03
2.17, 0.01
2.70, 0.02
3.13, 0.01
2.37, 0.01
2.47, 0.01
2.67, 0.02
2.92, 0.03
2.66, 0.02
2.72, 0.01
3.00, 0.02
2.29, 0.01
11.82, 0.02
2.57, 0.01
2.86, 0.02
2.43, 0.01
2.53, 0.01
3.21, 0.02
2.65, 0.01
3.17, 0.04
2.76, 0.01
2.71, 0.02
2.12, 0.02
3.57, 0.02
3.23, 0.02
2.52, 0.02
2.12, 0.02
2.56, 0.01
1.94, 0.01
2.68, 0.04
2.80, 0.02
2.89, 0.02
2.78, 0.02
2.59, 0.04
2.59, 0.05
2.78, 0.01
2.80, 0.01
2.55, 0.02
2.59, 0.02
2.10, 0.01
2.09, 0.01
2.55, 0.01
2.75, 0.02
2.87, 0.01
2.15, 0.02
2.48, 0.02
2.71, 0.03
2.86, 0.02
3.25, 0.01
2.49, 0.01
3.33, 0.02
2.39, 0.02
2.86, 0.01
2.62, 0.02
2.16, 0.02
2.53, 0.01
2.34, 0.03
2.71, 0.02
2.36, 0.01
2.95, 0.02
2.76, 0.02
2.98, 0.02
2.42, 0.02
