Latency (ms), +/- (ms)
10.55, 0.02
14.01, 0.01
7.79, 0.02
10.75, 0.01
14.35, 0.01
7.48, 0.02
4.16, 0.02
4.51, 0.03
13.86, 0.02
10.43, 0.01
4.32, 0.01
4.26, 0.01
1.13, 0.02
4.11, 0.01
11.00, 0.02
8.47, 0.03
13.87, 0.02
13.82, 0.03
4.21, 0.02
10.64, 0.02
13.85, 0.02
10.44, 0.01
13.94, 0.01
7.39, 0.01
4.58, 0.02
17.25, 0.03
16.85, 0.01
10.70, 0.01
17.14, 0.01
7.49, 0.02
10.48, 0.01
7.37, 0.01
10.96, 0.02
4.08, 0.01
16.89, 0.03
13.63, 0.01
10.79, 0.01
4.37, 0.02
4.34, 0.02
13.58, 0.01
17.12, 0.02
10.79, 0.02
1.26, 0.02
7.58, 0.03
10.45, 0.02
10.88, 0.02
17.11, 0.02
14.09, 0.03
7.62, 0.02
4.20, 0.02
10.63, 0.02
4.54, 0.02
17.00, 0.03
7.35, 0.01
10.45, 0.01
10.87, 0.03
4.02, 0.01
10.85, 0.02
5.75, 0.02
7.31, 0.02
4.01, 0.01
13.81, 0.02
16.02, 0.02
7.76, 0.03
3.98, 0.01
14.08, 0.03
4.42, 0.02
16.88, 0.01
8.35, 0.02
13.95, 0.02
7.48, 0.02
13.57, 0.02
7.43, 0.02
16.60, 0.02
1.21, 0.02
7.60, 0.03
16.50, 0.02
7.68, 0.03
16.98, 0.02
7.46, 0.01
1.12, 0.01
1.32, 0.02
7.27, 0.01
4.41, 0.02
4.06, 0.01
13.88, 0.01
7.20, 0.01
11.02, 0.02
13.56, 0.01
1.27, 0.02
4.36, 0.02
4.43, 0.01
17.05, 0.01
14.06, 0.02
10.84, 0.02
13.86, 0.02
13.74, 0.01
1.48, 0.01
7.59, 0.03
6.06, 0.03
