Latency (ms), +/- (ms)
10.32, 0.02
16.91, 0.01
10.74, 0.01
14.30, 0.02
10.62, 0.01
4.56, 0.01
13.87, 0.01
4.39, 0.01
4.68, 0.00
14.10, 0.03
14.07, 0.04
17.00, 0.03
14.03, 0.03
10.49, 0.02
10.75, 0.02
4.39, 0.02
16.90, 0.01
14.00, 0.03
4.37, 0.03
4.21, 0.04
7.38, 0.02
7.31, 0.02
13.72, 0.01
1.12, 0.01
14.05, 0.02
14.01, 0.03
16.78, 0.02
7.23, 0.01
1.35, 0.01
7.74, 0.03
10.34, 0.02
17.18, 0.03
4.27, 0.02
7.52, 0.01
13.76, 0.01
13.70, 0.02
1.26, 0.02
7.43, 0.02
4.40, 0.02
4.09, 0.01
10.85, 0.02
4.18, 0.02
7.35, 0.03
10.65, 0.01
4.52, 0.02
7.39, 0.01
1.25, 0.02
4.06, 0.01
4.27, 0.02
10.90, 0.02
4.29, 0.02
10.92, 0.02
13.82, 0.02
10.90, 0.03
13.84, 0.02
13.90, 0.02
0.82, 0.02
10.73, 0.02
13.75, 0.01
10.82, 0.02
4.31, 0.02
4.14, 0.03
10.84, 0.02
7.46, 0.02
16.91, 0.01
1.12, 0.03
10.59, 0.02
1.24, 0.02
7.68, 0.02
7.66, 0.03
7.35, 0.01
10.70, 0.01
14.06, 0.02
1.03, 0.02
17.14, 0.03
7.60, 0.01
4.01, 0.01
10.72, 0.02
10.63, 0.02
7.30, 0.01
7.74, 0.02
10.32, 0.01
7.75, 0.02
13.90, 0.01
10.63, 0.01
4.50, 0.02
4.16, 0.02
0.98, 0.02
7.40, 0.03
1.28, 0.01
2.41, 0.02
1.31, 0.03
10.60, 0.02
7.58, 0.02
1.20, 0.03
7.39, 0.01
13.85, 0.01
13.91, 0.02
7.59, 0.03
16.99, 0.01
