Latency (ms), +/- (ms)
1.10, 0.02
1.55, 0.01
1.54, 0.02
1.01, 0.01
2.11, 0.01
2.16, 0.02
1.69, 0.02
0.84, 0.02
1.07, 0.02
1.34, 0.02
1.38, 0.02
2.62, 0.02
1.37, 0.01
1.61, 0.03
1.61, 0.02
1.07, 0.03
1.81, 0.03
1.09, 0.03
2.06, 0.02
1.31, 0.02
1.49, 0.02
1.19, 0.02
1.46, 0.03
1.27, 0.03
1.53, 0.01
0.93, 0.01
1.56, 0.02
1.35, 0.01
1.88, 0.03
0.97, 0.02
0.86, 0.01
0.98, 0.01
1.62, 0.01
1.78, 0.02
1.99, 0.02
1.23, 0.02
2.17, 0.01
1.89, 0.03
0.96, 0.01
1.53, 0.01
1.76, 0.02
2.00, 0.02
1.29, 0.02
1.95, 0.02
1.74, 0.01
1.78, 0.02
1.68, 0.02
1.60, 0.02
0.75, 0.02
1.10, 0.01
1.44, 0.03
1.51, 0.01
0.92, 0.02
1.11, 0.02
1.11, 0.02
1.15, 0.02
1.61, 0.02
1.98, 0.02
1.63, 0.02
1.25, 0.02
1.47, 0.02
1.29, 0.03
1.84, 0.02
1.45, 0.03
1.09, 0.02
1.93, 0.02
1.17, 0.01
1.32, 0.01
2.10, 0.02
1.42, 0.02
1.73, 0.02
2.19, 0.01
1.02, 0.01
1.47, 0.03
1.28, 0.03
1.04, 0.02
1.81, 0.02
3.19, 0.02
1.80, 0.02
1.56, 0.02
2.45, 0.01
1.66, 0.02
1.05, 0.01
1.60, 0.04
1.29, 0.01
1.21, 0.02
1.62, 0.01
1.59, 0.02
0.79, 0.02
1.30, 0.02
1.77, 0.02
1.79, 0.04
1.60, 0.02
1.32, 0.02
1.55, 0.02
1.81, 0.02
1.51, 0.02
0.80, 0.03
1.76, 0.02
1.61, 0.02
