Latency (ms), +/- (ms)
3.61, 0.02
3.72, 0.01
3.41, 0.02
3.90, 0.02
4.36, 0.01
3.43, 0.01
3.02, 0.01
3.91, 0.01
4.36, 0.02
4.24, 0.02
3.85, 0.02
3.10, 0.03
4.08, 0.02
3.94, 0.03
4.53, 0.04
4.99, 0.02
3.53, 0.02
3.03, 0.02
3.93, 0.02
3.95, 0.02
3.98, 0.02
2.54, 0.02
3.46, 0.02
3.64, 0.02
3.98, 0.02
3.76, 0.02
3.78, 0.04
3.65, 0.02
3.32, 0.02
3.04, 0.02
3.22, 0.03
4.25, 0.02
3.71, 0.02
2.84, 0.02
3.90, 0.02
3.61, 0.02
4.66, 0.03
4.52, 0.03
3.18, 0.02
3.63, 0.02
5.30, 0.02
3.41, 0.02
3.67, 0.03
3.38, 0.04
3.38, 0.03
3.14, 0.02
3.93, 0.02
4.13, 0.04
3.34, 0.02
4.54, 0.02
4.52, 0.02
4.26, 0.02
3.15, 0.02
4.10, 0.04
4.01, 0.03
3.39, 0.02
3.62, 0.02
3.49, 0.02
2.98, 0.01
3.72, 0.02
3.52, 0.02
2.74, 0.01
3.27, 0.01
3.15, 0.01
3.37, 0.01
4.68, 0.01
3.85, 0.03
4.18, 0.03
3.78, 0.02
3.39, 0.01
3.67, 0.02
3.89, 0.03
3.84, 0.02
7.06, 0.02
4.44, 0.02
3.97, 0.02
3.64, 0.01
2.94, 0.02
3.58, 0.02
3.95, 0.01
3.73, 0.02
3.14, 0.01
3.70, 0.01
3.45, 0.03
3.11, 0.02
3.44, 0.02
4.55, 0.01
4.37, 0.01
3.29, 0.02
4.00, 0.02
2.86, 0.02
3.82, 0.04
3.02, 0.01
3.08, 0.01
3.01, 0.03
3.92, 0.03
2.73, 0.02
3.55, 0.01
3.72, 0.02
3.69, 0.02
