Latency (ms), +/- (ms)
2.24, 0.02
1.60, 0.01
3.12, 0.02
1.84, 0.01
1.75, 0.01
2.29, 0.00
1.57, 0.01
1.77, 0.01
2.17, 0.01
1.97, 0.02
1.45, 0.02
2.49, 0.02
2.46, 0.02
1.68, 0.02
2.15, 0.02
2.51, 0.02
1.34, 0.01
2.01, 0.01
2.34, 0.02
2.46, 0.03
2.40, 0.02
3.85, 0.02
1.78, 0.01
3.04, 0.02
2.25, 0.01
1.69, 0.01
2.87, 0.02
2.94, 0.02
1.54, 0.01
2.00, 0.02
2.53, 0.01
2.76, 0.02
2.40, 0.03
2.87, 0.02
1.59, 0.01
2.15, 0.02
1.95, 0.02
2.21, 0.02
2.45, 0.02
2.64, 0.02
1.78, 0.01
5.42, 0.03
1.68, 0.02
2.30, 0.02
3.18, 0.02
2.98, 0.02
2.00, 0.01
3.12, 0.02
2.68, 0.03
3.64, 0.04
1.85, 0.02
1.82, 0.02
2.27, 0.02
1.59, 0.02
2.69, 0.03
2.36, 0.04
2.41, 0.03
1.93, 0.02
3.01, 0.02
3.14, 0.02
2.42, 0.04
2.64, 0.02
2.18, 0.03
1.66, 0.03
3.12, 0.02
2.02, 0.02
2.02, 0.01
2.24, 0.01
2.56, 0.03
2.08, 0.02
2.57, 0.02
1.81, 0.02
2.48, 0.01
3.06, 0.02
4.94, 0.02
2.27, 0.02
2.09, 0.02
2.83, 0.05
2.80, 0.02
2.07, 0.01
2.35, 0.02
1.51, 0.02
2.25, 0.04
2.33, 0.02
2.78, 0.02
2.68, 0.02
1.85, 0.02
2.45, 0.02
2.82, 0.02
2.77, 0.02
2.27, 0.02
2.02, 0.04
2.43, 0.02
1.51, 0.02
2.64, 0.02
2.36, 0.02
2.29, 0.02
2.07, 0.02
1.97, 0.02
2.39, 0.01
