Latency (ms), +/- (ms)
6.26, 0.03
6.51, 0.04
5.62, 0.06
6.13, 0.04
6.39, 0.06
7.23, 0.06
5.57, 0.04
6.09, 0.06
5.77, 0.06
5.93, 0.06
6.63, 0.06
6.14, 0.06
5.85, 0.06
6.35, 0.06
6.19, 0.06
6.71, 0.03
5.06, 0.03
5.45, 0.03
6.36, 0.03
5.94, 0.03
5.82, 0.03
6.00, 0.03
6.21, 0.03
6.35, 0.03
5.95, 0.03
5.87, 0.03
5.92, 0.03
6.27, 0.06
6.19, 0.09
6.39, 0.06
6.82, 0.06
5.38, 0.06
6.04, 0.05
6.75, 0.05
5.86, 0.06
5.63, 0.06
6.46, 0.05
6.08, 0.06
5.90, 0.07
6.39, 0.06
6.41, 0.06
6.76, 0.06
6.27, 0.05
6.58, 0.06
5.74, 0.05
6.73, 0.05
6.37, 0.05
6.33, 0.06
5.97, 0.06
6.15, 0.05
5.86, 0.06
6.19, 0.06
6.64, 0.06
6.60, 0.06
6.41, 0.03
5.89, 0.03
6.06, 0.03
6.86, 0.03
5.77, 0.03
6.98, 0.03
5.02, 0.03
6.12, 0.03
5.85, 0.06
6.44, 0.06
5.92, 0.06
6.26, 0.05
6.15, 0.08
5.69, 0.06
6.38, 0.07
6.59, 0.06
6.61, 0.05
6.13, 0.06
6.43, 0.06
6.03, 0.03
5.55, 0.03
6.42, 0.03
6.15, 0.03
5.59, 0.03
5.98, 0.03
6.26, 0.04
6.14, 0.03
6.48, 0.03
6.59, 0.03
6.34, 0.03
6.94, 0.06
6.90, 0.06
6.55, 0.05
7.17, 0.08
5.42, 0.06
6.47, 0.05
6.07, 0.06
6.97, 0.05
5.88, 0.05
6.09, 0.06
6.29, 0.06
6.49, 0.06
5.89, 0.06
5.82, 0.05
6.36, 0.05
6.13, 0.06
