Latency (ms), +/- (ms)
1.21, 0.03
1.54, 0.03
1.04, 0.03
1.62, 0.03
1.67, 0.03
1.63, 0.03
1.40, 0.03
1.71, 0.03
1.71, 0.03
1.98, 0.03
1.70, 0.03
1.92, 0.03
1.13, 0.03
1.87, 0.03
1.06, 0.06
1.20, 0.06
2.10, 0.09
1.90, 0.05
1.56, 0.05
1.66, 0.05
1.37, 0.03
2.02, 0.03
1.01, 0.03
1.81, 0.03
1.08, 0.03
1.08, 0.03
1.41, 0.03
1.08, 0.03
1.69, 0.03
0.89, 0.03
1.46, 0.03
1.58, 0.03
1.58, 0.03
1.14, 0.05
1.29, 0.03
1.18, 0.03
0.98, 0.03
1.39, 0.03
1.64, 0.03
0.99, 0.03
1.56, 0.03
1.28, 0.03
1.86, 0.03
1.26, 0.03
1.92, 0.03
1.55, 0.03
1.86, 0.03
1.96, 0.05
1.36, 0.03
1.08, 0.03
1.83, 0.03
1.36, 0.03
1.91, 0.03
1.10, 0.03
0.98, 0.03
1.57, 0.03
1.23, 0.03
1.18, 0.03
1.07, 0.03
1.37, 0.03
1.66, 0.03
1.69, 0.03
1.48, 0.03
1.39, 0.03
1.77, 0.03
1.23, 0.05
1.48, 0.06
2.00, 0.06
1.70, 0.05
1.19, 0.10
1.77, 0.05
1.10, 0.05
1.50, 0.08
1.97, 0.05
2.20, 0.06
1.33, 0.06
1.22, 0.06
1.81, 0.08
1.96, 0.06
1.61, 0.05
1.28, 0.06
1.68, 0.06
1.33, 0.05
1.43, 0.12
1.69, 0.06
2.04, 0.06
1.73, 0.06
1.15, 0.06
1.33, 0.05
1.08, 0.06
2.13, 0.06
1.19, 0.06
1.91, 0.06
1.42, 0.06
1.24, 0.03
1.15, 0.03
1.81, 0.03
1.42, 0.03
1.39, 0.03
1.32, 0.03
