Latency (ms), +/- (ms)
6.26, 0.03
6.20, 0.03
4.58, 0.03
5.32, 0.03
5.35, 0.03
5.02, 0.03
5.91, 0.06
5.45, 0.06
5.67, 0.06
5.05, 0.05
5.83, 0.06
5.65, 0.06
5.52, 0.03
4.90, 0.03
4.55, 0.03
4.83, 0.03
4.77, 0.03
5.22, 0.03
5.09, 0.03
5.59, 0.03
5.33, 0.03
5.92, 0.06
5.67, 0.04
5.99, 0.05
5.20, 0.05
5.44, 0.06
5.55, 0.04
6.16, 0.06
6.27, 0.05
5.43, 0.05
5.97, 0.05
6.29, 0.06
5.36, 0.06
5.56, 0.05
4.96, 0.06
4.88, 0.05
5.12, 0.06
5.33, 0.06
5.76, 0.07
5.74, 0.06
5.47, 0.06
5.07, 0.06
5.56, 0.06
5.84, 0.05
5.42, 0.06
5.42, 0.06
5.29, 0.05
4.86, 0.05
4.68, 0.08
5.69, 0.06
5.64, 0.05
5.45, 0.06
5.49, 0.06
5.76, 0.06
5.09, 0.05
5.32, 0.05
5.99, 0.03
6.06, 0.03
5.80, 0.03
5.33, 0.03
5.93, 0.03
4.82, 0.03
5.02, 0.03
5.52, 0.03
5.28, 0.03
5.50, 0.06
5.61, 0.06
5.13, 0.06
5.14, 0.06
5.83, 0.06
5.33, 0.04
5.73, 0.05
5.64, 0.05
6.16, 0.05
5.16, 0.06
5.54, 0.06
5.39, 0.05
5.13, 0.05
5.10, 0.06
4.96, 0.07
5.55, 0.05
5.23, 0.04
5.30, 0.06
5.13, 0.06
5.74, 0.06
6.02, 0.09
5.88, 0.05
6.42, 0.06
4.97, 0.06
4.78, 0.04
5.45, 0.06
4.96, 0.06
5.40, 0.05
5.70, 0.05
5.17, 0.03
4.99, 0.03
4.96, 0.03
5.46, 0.03
5.34, 0.03
5.44, 0.03
