Latency (ms), +/- (ms)
0.57, 0.03
1.34, 0.03
0.47, 0.03
0.87, 0.03
1.07, 0.03
1.18, 0.03
0.41, 0.03
0.78, 0.03
0.59, 0.06
0.61, 0.06
0.60, 0.05
1.32, 0.05
0.62, 0.05
1.25, 0.04
0.43, 0.05
0.72, 0.06
1.00, 0.05
1.01, 0.06
0.49, 0.06
1.04, 0.05
1.42, 0.06
0.85, 0.06
1.16, 0.06
1.46, 0.06
1.08, 0.06
0.87, 0.06
1.42, 0.06
0.77, 0.06
1.00, 0.05
1.24, 0.05
0.90, 0.06
0.75, 0.05
1.09, 0.05
0.96, 0.05
1.20, 0.05
0.55, 0.05
0.75, 0.06
1.43, 0.05
1.30, 0.06
0.81, 0.04
0.48, 0.06
1.07, 0.05
0.74, 0.06
0.99, 0.05
0.65, 0.06
1.24, 0.06
0.68, 0.06
1.24, 0.06
1.37, 0.06
0.50, 0.06
1.25, 0.05
0.73, 0.05
1.11, 0.06
0.68, 0.08
1.36, 0.05
0.44, 0.06
1.15, 0.06
1.42, 0.06
0.46, 0.06
0.52, 0.06
1.12, 0.06
1.05, 0.05
0.95, 0.06
1.15, 0.08
0.50, 0.05
0.62, 0.06
0.98, 0.06
0.75, 0.05
1.15, 0.06
1.35, 0.06
0.94, 0.06
0.66, 0.06
0.75, 0.06
1.19, 0.06
0.49, 0.06
1.28, 0.06
0.84, 0.06
0.88, 0.06
1.41, 0.06
0.41, 0.05
0.68, 0.06
0.77, 0.06
0.95, 0.06
1.03, 0.06
1.03, 0.06
1.15, 0.05
1.09, 0.06
0.59, 0.05
0.75, 0.05
0.58, 0.04
0.49, 0.06
0.87, 0.06
1.23, 0.06
0.57, 0.05
0.86, 0.06
1.37, 0.06
0.62, 0.06
1.40, 0.06
1.06, 0.06
1.39, 0.05
