Latency (ms), +/- (ms)
12.88, 0.03
11.28, 0.03
17.04, 0.02
13.77, 0.03
16.98, 0.03
14.11, 0.02
19.26, 0.03
17.80, 0.04
14.06, 0.04
10.49, 0.04
14.48, 0.05
9.60, 0.05
15.67, 0.05
15.95, 0.05
16.48, 0.05
15.29, 0.05
12.32, 0.05
10.34, 0.05
15.14, 0.04
8.92, 0.03
15.17, 0.05
18.51, 0.05
19.07, 0.04
13.92, 0.05
18.29, 0.05
11.94, 0.03
8.89, 0.03
14.15, 0.03
17.82, 0.03
10.74, 0.03
10.21, 0.03
16.70, 0.03
10.79, 0.03
19.01, 0.04
10.59, 0.04
16.82, 0.05
18.11, 0.04
6.66, 0.05
17.15, 0.04
11.21, 0.04
9.45, 0.05
11.19, 0.04
19.60, 0.05
11.89, 0.04
11.48, 0.05
18.31, 0.05
9.90, 0.07
15.57, 0.04
15.65, 0.04
13.52, 0.04
9.88, 0.04
18.25, 0.05
19.02, 0.04
13.71, 0.04
18.53, 0.04
17.64, 0.04
17.84, 0.05
11.80, 0.04
19.64, 0.05
16.54, 0.05
9.49, 0.04
15.87, 0.04
10.97, 0.07
16.60, 0.05
19.14, 0.05
14.65, 0.05
15.01, 0.05
19.53, 0.04
19.72, 0.05
15.58, 0.05
12.40, 0.05
17.59, 0.05
19.43, 0.04
9.93, 0.05
19.00, 0.05
9.06, 0.05
18.60, 0.04
9.36, 0.04
12.03, 0.04
9.38, 0.04
8.73, 0.05
9.17, 0.05
15.87, 0.05
12.58, 0.05
14.82, 0.04
12.27, 0.04
14.08, 0.04
13.70, 0.05
10.64, 0.04
8.50, 0.05
10.96, 0.05
16.01, 0.05
12.91, 0.04
15.44, 0.04
13.20, 0.05
12.23, 0.05
12.79, 0.04
16.21, 0.04
17.06, 0.05
14.26, 0.05
