Latency (ms), +/- (ms)
17.72, 0.03
12.40, 0.03
22.85, 0.03
17.81, 0.03
19.73, 0.03
18.64, 0.03
13.34, 0.05
15.85, 0.04
16.54, 0.03
21.15, 0.05
22.71, 0.03
22.73, 0.03
13.80, 0.03
10.79, 0.03
17.83, 0.03
10.40, 0.03
13.49, 0.03
10.11, 0.05
8.94, 0.05
8.20, 0.03
15.88, 0.03
21.62, 0.03
10.65, 0.03
9.01, 0.03
17.09, 0.03
19.64, 0.02
20.02, 0.03
11.72, 0.03
9.59, 0.02
11.07, 0.03
22.93, 0.04
21.24, 0.05
13.76, 0.04
22.76, 0.05
9.67, 0.05
14.47, 0.05
21.65, 0.05
15.09, 0.05
11.53, 0.04
9.74, 0.05
10.94, 0.04
15.90, 0.04
23.58, 0.05
14.62, 0.05
15.48, 0.05
20.00, 0.05
8.90, 0.04
11.98, 0.05
19.25, 0.05
17.28, 0.04
17.18, 0.04
14.59, 0.05
15.26, 0.05
17.79, 0.05
17.58, 0.05
17.04, 0.05
9.91, 0.05
13.05, 0.05
16.39, 0.05
14.45, 0.05
15.57, 0.05
12.65, 0.05
19.77, 0.06
10.56, 0.05
19.19, 0.05
12.08, 0.04
17.30, 0.05
15.38, 0.05
18.17, 0.05
13.53, 0.04
11.06, 0.05
21.83, 0.05
11.12, 0.05
21.53, 0.05
20.40, 0.05
8.34, 0.05
22.66, 0.05
11.69, 0.05
19.09, 0.04
13.63, 0.04
22.98, 0.04
12.18, 0.05
12.47, 0.05
21.00, 0.05
6.45, 0.05
14.83, 0.05
18.92, 0.05
11.50, 0.05
31.26, 0.05
9.76, 0.04
22.07, 0.05
20.18, 0.05
17.86, 0.04
12.67, 0.05
17.25, 0.04
11.70, 0.05
20.06, 0.05
14.70, 0.04
21.41, 0.05
8.81, 0.05
