Latency (ms), +/- (ms)
7.53, 0.03
10.06, 0.03
4.79, 0.03
17.16, 0.03
15.97, 0.03
10.22, 0.03
16.37, 0.03
18.49, 0.03
12.12, 0.03
11.00, 0.03
6.10, 0.03
17.93, 0.03
19.12, 0.03
12.69, 0.03
6.50, 0.03
10.45, 0.03
19.38, 0.05
8.80, 0.05
5.94, 0.04
19.67, 0.04
10.33, 0.05
13.05, 0.04
14.43, 0.04
16.76, 0.04
10.25, 0.05
11.54, 0.04
13.18, 0.05
6.44, 0.05
11.65, 0.04
12.93, 0.05
18.09, 0.04
17.60, 0.08
11.36, 0.05
10.99, 0.04
14.62, 0.04
14.34, 0.05
2.20, 0.04
7.11, 0.05
9.82, 0.05
7.58, 0.03
8.67, 0.03
9.07, 0.03
8.69, 0.03
13.95, 0.03
16.07, 0.03
15.41, 0.03
14.74, 0.03
11.94, 0.03
5.03, 0.03
5.67, 0.05
5.89, 0.05
6.77, 0.07
11.39, 0.05
11.98, 0.05
7.56, 0.04
17.20, 0.04
4.50, 0.04
5.13, 0.04
6.41, 0.04
13.02, 0.04
12.14, 0.04
8.32, 0.05
9.58, 0.05
13.49, 0.04
17.01, 0.05
15.00, 0.05
18.79, 0.04
4.76, 0.05
10.79, 0.05
8.03, 0.05
8.31, 0.04
9.14, 0.03
7.44, 0.04
14.65, 0.05
15.04, 0.04
11.02, 0.04
6.41, 0.03
17.11, 0.03
19.36, 0.03
15.81, 0.03
18.92, 0.03
9.69, 0.03
8.29, 0.05
16.13, 0.05
4.97, 0.05
13.14, 0.05
16.61, 0.05
9.17, 0.04
18.49, 0.05
4.85, 0.04
18.10, 0.08
6.25, 0.05
16.30, 0.04
13.17, 0.05
13.66, 0.05
13.10, 0.06
12.73, 0.05
14.52, 0.04
7.39, 0.05
17.37, 0.04
