Latency (ms), +/- (ms)
8.28, 0.03
9.52, 0.03
5.55, 0.03
6.14, 0.03
10.62, 0.03
11.18, 0.04
8.01, 0.08
7.74, 0.04
7.18, 0.05
4.97, 0.05
7.86, 0.05
10.47, 0.05
10.44, 0.03
5.03, 0.03
5.85, 0.03
8.15, 0.03
9.83, 0.03
6.96, 0.03
5.29, 0.03
9.38, 0.03
8.86, 0.03
9.11, 0.05
6.33, 0.05
4.03, 0.04
4.62, 0.05
5.17, 0.05
6.25, 0.08
7.47, 0.05
5.22, 0.04
6.52, 0.05
10.61, 0.05
9.89, 0.05
9.67, 0.05
6.67, 0.04
5.07, 0.05
8.85, 0.05
9.35, 0.04
5.76, 0.03
10.20, 0.03
8.46, 0.03
8.49, 0.03
9.53, 0.03
10.49, 0.03
10.15, 0.03
6.75, 0.03
8.80, 0.03
10.90, 0.03
9.61, 0.05
7.01, 0.05
10.60, 0.05
5.06, 0.04
9.76, 0.05
6.84, 0.05
5.18, 0.04
5.05, 0.05
7.24, 0.05
7.93, 0.04
5.37, 0.05
7.98, 0.05
11.27, 0.05
8.26, 0.05
11.20, 0.05
10.73, 0.03
4.93, 0.03
4.68, 0.03
6.54, 0.03
9.17, 0.03
9.44, 0.03
8.66, 0.03
5.40, 0.03
5.95, 0.03
9.11, 0.03
4.79, 0.03
11.22, 0.05
5.55, 0.05
7.32, 0.05
9.00, 0.05
10.01, 0.04
6.39, 0.05
10.46, 0.05
6.38, 0.05
10.80, 0.03
6.03, 0.03
8.33, 0.03
6.03, 0.03
3.91, 0.03
9.51, 0.03
5.40, 0.03
10.46, 0.03
9.38, 0.04
11.65, 0.05
11.79, 0.05
7.45, 0.05
7.04, 0.05
8.81, 0.05
4.48, 0.05
9.14, 0.04
7.14, 0.04
6.37, 0.04
7.93, 0.05
