Latency (ms), +/- (ms)
1.84, 0.03
2.62, 0.03
2.76, 0.03
2.40, 0.03
1.70, 0.04
1.86, 0.03
1.24, 0.05
1.84, 0.04
1.49, 0.04
2.01, 0.05
2.23, 0.05
1.61, 0.04
2.32, 0.05
2.07, 0.05
2.52, 0.05
1.86, 0.05
1.01, 0.05
1.10, 0.04
0.97, 0.04
1.67, 0.05
1.98, 0.05
2.27, 0.05
1.77, 0.05
1.98, 0.05
1.62, 0.05
2.27, 0.04
1.68, 0.04
2.58, 0.03
1.60, 0.02
2.46, 0.03
1.96, 0.03
1.81, 0.02
1.43, 0.03
1.19, 0.03
1.44, 0.03
1.14, 0.03
1.87, 0.03
1.70, 0.05
1.57, 0.05
1.81, 0.04
2.10, 0.04
1.70, 0.05
1.87, 0.04
2.17, 0.05
2.34, 0.04
1.84, 0.05
1.20, 0.05
1.38, 0.05
1.46, 0.04
1.78, 0.05
1.66, 0.05
1.61, 0.04
2.08, 0.04
2.07, 0.04
1.85, 0.05
2.24, 0.04
1.91, 0.05
1.83, 0.04
1.86, 0.05
1.43, 0.05
1.78, 0.05
1.55, 0.04
2.15, 0.05
1.36, 0.03
1.69, 0.03
1.98, 0.03
2.31, 0.03
2.04, 0.03
2.23, 0.03
2.44, 0.03
1.94, 0.05
1.87, 0.05
1.79, 0.04
1.32, 0.05
2.10, 0.05
2.09, 0.05
2.12, 0.04
2.28, 0.05
2.04, 0.05
1.77, 0.04
1.80, 0.04
2.33, 0.05
2.04, 0.05
0.88, 0.04
1.98, 0.04
1.44, 0.05
1.71, 0.05
1.26, 0.04
1.81, 0.04
1.32, 0.04
2.38, 0.05
1.72, 0.05
2.19, 0.05
2.54, 0.05
2.63, 0.05
2.51, 0.04
1.96, 0.05
1.49, 0.04
1.31, 0.04
1.29, 0.05
