Latency (ms), +/- (ms)
8.81, 0.03
11.80, 0.03
9.40, 0.03
8.58, 0.03
13.34, 0.05
8.06, 0.05
10.21, 0.03
5.24, 0.03
11.95, 0.03
11.55, 0.03
13.12, 0.03
10.97, 0.03
8.05, 0.03
11.55, 0.03
7.16, 0.03
8.14, 0.03
11.07, 0.05
5.94, 0.05
5.46, 0.13
10.80, 0.05
6.00, 0.04
5.85, 0.05
5.15, 0.05
13.08, 0.05
8.45, 0.05
9.89, 0.07
11.40, 0.05
8.23, 0.05
8.09, 0.05
9.87, 0.05
5.35, 0.04
9.82, 0.05
13.13, 0.05
6.13, 0.04
5.27, 0.04
8.44, 0.03
6.91, 0.03
9.58, 0.03
6.39, 0.03
12.84, 0.03
8.15, 0.03
6.47, 0.03
8.66, 0.03
7.88, 0.05
6.55, 0.05
11.73, 0.04
11.14, 0.04
12.67, 0.05
12.55, 0.05
7.86, 0.04
5.97, 0.05
9.46, 0.04
6.16, 0.04
10.85, 0.04
9.55, 0.04
10.94, 0.04
7.92, 0.04
9.25, 0.04
6.88, 0.04
8.64, 0.04
7.80, 0.05
10.74, 0.05
8.45, 0.08
8.27, 0.05
11.53, 0.05
6.58, 0.05
6.76, 0.05
13.28, 0.05
9.75, 0.05
8.38, 0.05
11.50, 0.05
6.59, 0.03
7.22, 0.03
8.76, 0.03
5.35, 0.03
10.20, 0.03
10.49, 0.03
6.92, 0.03
13.42, 0.03
5.58, 0.03
10.17, 0.03
11.64, 0.05
6.88, 0.04
8.51, 0.04
9.98, 0.11
12.90, 0.05
7.52, 0.05
13.20, 0.05
5.36, 0.04
9.98, 0.04
11.52, 0.05
11.68, 0.04
6.12, 0.05
12.51, 0.05
9.42, 0.05
9.20, 0.05
9.20, 0.04
7.26, 0.05
5.03, 0.05
11.57, 0.05
