Latency (ms), +/- (ms)
25.65, 0.03
20.78, 0.03
21.47, 0.03
22.58, 0.03
19.68, 0.03
21.29, 0.03
24.18, 0.03
24.52, 0.03
23.28, 0.05
23.05, 0.05
21.51, 0.03
23.10, 0.03
25.45, 0.03
17.43, 0.03
21.16, 0.03
25.63, 0.03
25.44, 0.03
24.72, 0.05
24.76, 0.05
23.98, 0.05
25.01, 0.04
22.47, 0.04
21.08, 0.04
24.74, 0.05
24.98, 0.08
24.93, 0.05
19.83, 0.05
23.69, 0.05
23.79, 0.05
23.14, 0.04
23.97, 0.05
21.81, 0.04
25.20, 0.05
25.56, 0.05
16.40, 0.04
23.69, 0.05
23.39, 0.04
24.10, 0.05
23.07, 0.03
20.58, 0.03
24.62, 0.03
17.29, 0.03
19.19, 0.03
22.69, 0.03
24.62, 0.03
24.09, 0.03
15.17, 0.02
17.51, 0.03
23.42, 0.03
18.61, 0.03
21.69, 0.05
17.63, 0.04
24.48, 0.05
23.69, 0.04
20.89, 0.03
23.10, 0.03
22.98, 0.03
24.02, 0.03
24.36, 0.03
19.64, 0.03
23.66, 0.03
23.19, 0.03
21.90, 0.03
21.00, 0.03
25.20, 0.03
24.34, 0.05
22.40, 0.04
22.20, 0.04
23.88, 0.05
23.69, 0.05
24.39, 0.05
24.16, 0.05
25.60, 0.05
22.30, 0.04
23.28, 0.05
25.25, 0.05
24.18, 0.05
23.39, 0.05
25.41, 0.05
22.48, 0.04
21.22, 0.04
22.95, 0.05
24.83, 0.05
25.31, 0.04
23.17, 0.05
25.98, 0.05
20.83, 0.04
17.50, 0.04
22.96, 0.05
24.50, 0.05
23.04, 0.05
23.06, 0.05
21.78, 0.05
23.51, 0.05
24.96, 0.05
23.20, 0.03
26.03, 0.03
18.48, 0.03
18.41, 0.03
25.10, 0.05
