Latency (ms), +/- (ms)
7.26, 0.03
6.74, 0.02
7.03, 0.03
7.44, 0.03
7.66, 0.03
7.16, 0.03
6.57, 0.03
7.05, 0.05
6.74, 0.04
6.30, 0.05
7.40, 0.04
6.83, 0.05
6.98, 0.04
6.60, 0.04
7.79, 0.04
6.26, 0.05
6.48, 0.05
7.02, 0.05
7.31, 0.05
6.72, 0.05
6.02, 0.04
6.82, 0.05
5.91, 0.04
7.74, 0.05
6.36, 0.04
6.81, 0.05
6.43, 0.05
6.83, 0.05
6.89, 0.05
7.59, 0.05
6.47, 0.04
8.22, 0.05
6.18, 0.04
6.94, 0.05
6.39, 0.04
6.78, 0.04
6.66, 0.04
6.32, 0.05
6.86, 0.05
6.11, 0.05
7.38, 0.03
7.58, 0.05
6.56, 0.05
7.40, 0.05
7.11, 0.05
7.16, 0.03
7.62, 0.05
6.96, 0.05
7.72, 0.05
7.59, 0.05
6.42, 0.05
6.90, 0.05
6.22, 0.05
6.75, 0.05
6.72, 0.05
7.52, 0.05
6.32, 0.04
7.96, 0.05
6.38, 0.11
7.09, 0.05
7.19, 0.04
7.01, 0.05
6.44, 0.04
8.29, 0.05
7.08, 0.05
6.75, 0.04
8.03, 0.03
6.71, 0.03
6.49, 0.03
6.87, 0.03
7.46, 0.03
6.71, 0.03
6.89, 0.03
6.77, 0.03
6.87, 0.03
7.29, 0.05
6.56, 0.05
7.06, 0.05
6.73, 0.03
7.67, 0.03
6.29, 0.03
7.28, 0.03
7.38, 0.03
6.17, 0.03
7.06, 0.03
7.15, 0.03
6.48, 0.03
6.79, 0.05
7.13, 0.05
6.86, 0.05
7.98, 0.07
7.13, 0.05
6.70, 0.04
7.85, 0.04
6.33, 0.05
7.31, 0.05
6.66, 0.04
7.56, 0.05
6.59, 0.05
6.51, 0.05
