Latency (ms), +/- (ms)
9.99, 0.03
9.39, 0.03
14.32, 0.03
9.83, 0.04
4.32, 0.05
5.29, 0.04
14.20, 0.05
11.82, 0.03
4.07, 0.03
11.20, 0.03
9.88, 0.03
11.19, 0.03
12.89, 0.03
12.28, 0.03
4.31, 0.03
12.90, 0.05
9.66, 0.05
5.26, 0.05
16.64, 0.05
18.85, 0.05
17.71, 0.05
8.81, 0.07
14.11, 0.05
4.49, 0.05
13.71, 0.05
17.08, 0.03
11.50, 0.03
17.08, 0.03
4.14, 0.03
7.37, 0.03
18.45, 0.03
14.30, 0.03
16.90, 0.03
11.02, 0.03
18.20, 0.03
8.67, 0.05
6.80, 0.04
12.89, 0.04
2.45, 0.05
18.53, 0.05
16.27, 0.04
8.09, 0.04
8.67, 0.04
12.07, 0.04
18.50, 0.05
6.14, 0.05
16.25, 0.05
6.82, 0.04
17.69, 0.04
14.88, 0.03
15.94, 0.03
6.59, 0.03
10.85, 0.03
8.70, 0.03
17.36, 0.03
15.49, 0.03
16.32, 0.03
12.22, 0.05
5.07, 0.04
5.60, 0.04
10.25, 0.05
9.85, 0.04
9.75, 0.05
4.82, 0.05
7.19, 0.05
6.44, 0.05
5.85, 0.05
6.23, 0.05
14.56, 0.05
11.45, 0.05
7.86, 0.04
18.32, 0.04
15.57, 0.05
7.97, 0.05
10.12, 0.05
6.05, 0.05
15.06, 0.04
15.23, 0.04
7.79, 0.04
4.18, 0.05
16.95, 0.04
12.20, 0.09
6.41, 0.05
10.72, 0.04
13.53, 0.04
9.39, 0.04
16.66, 0.05
8.28, 0.05
15.58, 0.04
13.10, 0.05
10.20, 0.04
9.44, 0.06
13.63, 0.05
16.12, 0.05
5.84, 0.05
11.89, 0.04
7.59, 0.05
13.13, 0.04
14.68, 0.04
12.57, 0.04
