Latency (ms), +/- (ms)
15.25, 0.03
14.39, 0.03
15.36, 0.03
9.85, 0.03
13.13, 0.03
14.61, 0.03
8.59, 0.03
13.67, 0.04
10.70, 0.05
11.59, 0.04
14.35, 0.05
9.52, 0.03
14.14, 0.03
11.66, 0.03
13.72, 0.03
10.57, 0.03
15.10, 0.03
10.31, 0.03
11.06, 0.03
12.32, 0.03
14.27, 0.03
10.69, 0.05
12.44, 0.05
12.07, 0.05
13.31, 0.05
15.54, 0.05
9.95, 0.11
12.36, 0.05
9.06, 0.04
9.44, 0.03
10.63, 0.03
9.72, 0.03
9.63, 0.03
10.97, 0.03
13.96, 0.03
11.88, 0.03
15.36, 0.03
10.64, 0.03
11.68, 0.05
10.63, 0.04
9.17, 0.04
8.97, 0.05
13.54, 0.05
15.74, 0.05
10.79, 0.05
12.22, 0.05
10.82, 0.04
14.58, 0.04
15.86, 0.04
13.38, 0.04
8.73, 0.05
10.27, 0.04
16.27, 0.05
14.91, 0.05
14.01, 0.04
14.82, 0.05
11.97, 0.05
15.32, 0.04
11.69, 0.04
11.97, 0.04
13.43, 0.03
9.15, 0.03
14.58, 0.03
14.15, 0.03
12.62, 0.03
13.29, 0.05
12.29, 0.03
8.08, 0.03
10.27, 0.03
25.94, 0.05
12.41, 0.05
9.16, 0.05
15.27, 0.05
11.54, 0.05
8.93, 0.05
9.27, 0.05
14.39, 0.03
13.34, 0.03
11.59, 0.03
15.23, 0.03
14.91, 0.03
11.29, 0.03
13.42, 0.03
12.81, 0.03
10.61, 0.03
14.31, 0.05
15.40, 0.05
10.14, 0.05
15.10, 0.05
19.03, 0.04
9.75, 0.05
12.15, 0.07
10.49, 0.05
13.74, 0.03
8.89, 0.03
13.85, 0.03
12.45, 0.03
9.06, 0.03
12.96, 0.03
10.28, 0.03
