Latency (ms), +/- (ms)
1.33, 0.03
1.36, 0.03
1.32, 0.03
1.12, 0.03
1.09, 0.03
1.10, 0.03
1.52, 0.03
1.22, 0.04
1.41, 0.03
0.96, 0.03
1.22, 0.03
1.46, 0.03
1.01, 0.03
1.32, 0.05
1.70, 0.03
1.13, 0.03
1.50, 0.03
1.70, 0.04
1.23, 0.05
0.89, 0.06
0.90, 0.04
1.11, 0.05
0.98, 0.05
1.63, 0.05
0.85, 0.05
0.96, 0.05
1.30, 0.05
1.77, 0.07
1.53, 0.04
1.57, 0.05
1.60, 0.04
1.23, 0.04
0.98, 0.05
1.62, 0.04
0.95, 0.04
1.15, 0.04
0.90, 0.05
1.43, 0.04
1.60, 0.03
1.10, 0.03
1.75, 0.03
1.44, 0.03
0.91, 0.03
0.76, 0.03
1.67, 0.03
0.97, 0.03
1.77, 0.05
1.30, 0.03
1.53, 0.03
1.22, 0.03
1.31, 0.03
1.30, 0.03
1.16, 0.03
1.20, 0.03
1.63, 0.03
1.48, 0.03
1.37, 0.03
0.92, 0.05
1.53, 0.05
1.62, 0.04
1.21, 0.07
1.26, 0.04
1.32, 0.05
0.78, 0.05
1.43, 0.04
1.13, 0.04
0.94, 0.05
1.04, 0.04
1.88, 0.10
1.33, 0.04
1.27, 0.05
0.94, 0.04
1.20, 0.05
1.26, 0.04
1.74, 0.04
1.79, 0.04
0.90, 0.05
1.55, 0.04
1.17, 0.04
0.90, 0.05
1.41, 0.04
1.31, 0.05
0.82, 0.04
0.91, 0.03
0.76, 0.03
0.88, 0.03
1.47, 0.03
1.07, 0.03
1.74, 0.03
0.79, 0.03
1.54, 0.03
1.67, 0.02
1.84, 0.05
1.13, 0.05
1.12, 0.04
1.21, 0.05
1.79, 0.05
0.72, 0.04
1.52, 0.05
1.59, 0.04
