Latency (ms), +/- (ms)
5.80, 0.03
6.37, 0.03
5.75, 0.03
4.88, 0.03
4.99, 0.03
5.83, 0.03
5.51, 0.03
5.91, 0.04
5.84, 0.04
5.76, 0.05
5.48, 0.04
6.04, 0.05
6.15, 0.04
6.04, 0.04
5.93, 0.04
6.02, 0.04
5.07, 0.05
5.34, 0.05
5.72, 0.03
5.87, 0.05
6.09, 0.07
5.25, 0.05
5.29, 0.04
6.21, 0.05
5.87, 0.02
6.39, 0.03
6.31, 0.04
6.43, 0.05
6.69, 0.05
5.89, 0.05
5.50, 0.04
5.55, 0.05
5.15, 0.05
5.90, 0.04
5.38, 0.05
6.21, 0.05
5.76, 0.05
6.22, 0.05
6.48, 0.05
6.17, 0.04
5.44, 0.05
5.78, 0.05
5.91, 0.03
5.34, 0.05
5.14, 0.03
5.87, 0.05
6.08, 0.05
5.60, 0.03
5.76, 0.05
6.40, 0.04
6.40, 0.03
5.95, 0.05
6.56, 0.04
6.63, 0.03
6.22, 0.05
5.47, 0.05
4.92, 0.05
5.56, 0.03
5.78, 0.04
5.84, 0.05
5.24, 0.04
5.40, 0.05
6.38, 0.05
5.60, 0.04
6.19, 0.04
5.84, 0.05
5.65, 0.04
5.19, 0.03
5.89, 0.07
5.90, 0.05
5.33, 0.04
5.99, 0.04
5.42, 0.05
5.76, 0.05
5.35, 0.05
5.60, 0.03
6.34, 0.03
6.26, 0.03
6.59, 0.05
6.80, 0.05
6.50, 0.04
5.43, 0.05
4.92, 0.04
5.76, 0.04
5.31, 0.04
5.15, 0.04
5.76, 0.04
5.67, 0.03
5.57, 0.03
5.78, 0.04
5.87, 0.03
5.55, 0.06
6.60, 0.06
6.05, 0.05
5.30, 0.05
5.71, 0.05
5.82, 0.05
5.83, 0.05
5.41, 0.04
5.33, 0.03
